,SUBID,ATTR,KO,A,B,ANS
0,13_2,Reverberance,1,6,3,1
1,13_2,Reverberance,1,7,2,2
2,13_2,Reverberance,1,6,2,1
3,13_2,Reverberance,1,5,1,2
4,13_2,Reverberance,1,6,1,1
5,13_2,Reverberance,1,4,3,1
6,13_2,Reverberance,1,4,2,1
7,13_2,Reverberance,1,4,1,1
8,13_2,Reverberance,1,3,2,2
9,13_2,Reverberance,1,2,1,1
10,13_2,Reverberance,0,4,5,1
11,13_2,Reverberance,0,3,5,1
12,13_2,Reverberance,0,4,6,2
13,13_2,Reverberance,0,1,7,1
14,13_2,Reverberance,0,6,7,1
15,13_2,Reverberance,0,2,5,1
16,13_2,Reverberance,0,1,3,1
17,13_2,Reverberance,0,3,7,1
18,13_2,Reverberance,0,5,6,2
19,13_2,Reverberance,0,4,7,1
20,13_2,Reverberance,0,5,7,1
