,SUBID,ATTR,KO,A,B,ANS
0,25_1,Loudness,1,3,4,2
1,25_1,Loudness,1,1,2,1
2,25_1,Loudness,1,4,1,2
3,25_1,Loudness,1,6,7,1
4,25_1,Loudness,1,1,6,1
5,25_1,Loudness,1,5,2,1
6,25_1,Loudness,1,4,5,2
7,25_1,Loudness,1,5,6,1
8,25_1,Loudness,1,4,2,1
9,25_1,Loudness,1,4,6,2
10,25_1,Loudness,0,1,7,1
11,25_1,Loudness,0,2,6,2
12,25_1,Loudness,0,3,7,1
13,25_1,Loudness,0,2,7,2
14,25_1,Loudness,0,2,3,2
15,25_1,Loudness,0,1,5,1
16,25_1,Loudness,0,1,3,1
17,25_1,Loudness,0,3,5,2
18,25_1,Loudness,0,4,7,1
19,25_1,Loudness,0,3,6,2
20,25_1,Loudness,0,5,7,1
